@id,@lat,@lon,name,tourism
117040893,-33.6282945,150.3111732,Govetts Leap,attraction
123375764,-42.915235,147.2487276,The Springs,attraction
123380303,-42.9173225,147.2508954,,viewpoint
123557767,-33.3442759,115.6461885,Miniature Railway,attraction
125199783,-33.7780642,151.2133909,,viewpoint
125207388,-33.7667575,151.2283793,,viewpoint
125207397,-33.7672797,151.2288071,,viewpoint
125208410,-33.7732128,151.2312694,,viewpoint
125208435,-33.777918,151.2329787,,viewpoint
125300346,-42.8946995,147.2384423,,viewpoint
127549705,-37.7853006,145.0133239,Fairfield Boathouse,attraction
127749780,-35.124695,150.7642157,Governors Head Lookout,viewpoint
130018662,-33.772542,151.2371082,The Rock,attraction
130018671,-33.7706601,151.2365132,Three steps,attraction
134509291,-33.8464487,151.0784805,Sundial,attraction
134597275,-34.6478191,150.4824664,Fitzroy Falls Lookout,viewpoint
134626162,-34.3353917,150.4968456,,attraction
134659606,-33.730428,150.2894619,Mount Rennie Tunnel entrance,attraction
136140911,-26.1522827,113.1560635,Steep Point,attraction
148961906,-32.1262427,116.2993818,Mt Dale Lookout,viewpoint
159087319,-35.7531889,150.1629232,Eurobodalla Regional Botanic Garden,attraction
166927395,-11.2248831,142.1166891,Vrilya Point,viewpoint
172920960,-37.5931395,149.7271263,WWII Bunker Museum,museum
174820087,-37.9509878,144.4246977,Flinders Peak,viewpoint
175674045,-33.6413553,151.1783018,,viewpoint
175678807,-33.6681705,151.1746065,Slades Lookout,viewpoint
176237135,-32.9605801,151.7392478,,viewpoint
176470019,-33.7045808,150.4300437,Echo Bluff,viewpoint
178361238,-37.8433441,146.0480151,Amphitheatre Falls,viewpoint
179245698,-36.4643904,148.2698231,Lake Cootapatamba Lookout,viewpoint
182115796,-24.2503385,131.5782835,,viewpoint
182234287,-25.2897183,130.738706,,viewpoint
182296704,-25.2956837,130.7072343,Olgas Sunset Viewing Area,viewpoint
182308871,-25.3510078,130.786932,Kata Tjuta Dune Viewing,viewpoint
182329712,-25.2562169,130.9815211,Ewing Lookout,viewpoint
185593840,-28.0620247,153.4407414,North Nobby,attraction
185863626,-28.0709657,153.4450061,South Nobby Headland,viewpoint
193175524,-35.6363985,148.9395256,,viewpoint
193751294,-28.2429714,153.2650971,Best of All Lookout,viewpoint
194199476,-27.3770312,153.12788,Viewing Platform BNE Runway 01R/19L,viewpoint
196760401,-33.8455796,151.0657041,Sydney Olympic Cauldron,attraction
197393910,-28.0919829,153.4592569,Tumgun Lookout,viewpoint
197423108,-28.181143,153.5351163,Razorback Hill,viewpoint
203233608,-27.4318482,153.0516896,Bartleys Hill Lookout,viewpoint
212965527,-27.0654626,152.781175,Dahmongah Lookout Park,viewpoint
240381472,-35.0018402,116.5337293,Mandalay Beach,viewpoint
240381524,-34.9990983,116.538947,Banksia Hut,attraction
240571470,-33.6964835,151.3122301,,viewpoint
240571485,-33.6943517,151.3114713,,viewpoint
241895324,-33.7528094,150.6121388,Wascoe Siding Miniature Railway,attraction
243435171,-33.7646024,150.623775,Glenbrook Native Plant Reserve,attraction
243458350,-33.6508314,151.0941193,,viewpoint
243461730,-33.5417564,151.1948971,Deerubbin Lookout,viewpoint
243665907,-37.6595664,144.3579912,Eastern Viewpoint,viewpoint
243837809,-33.7552903,150.4857709,Linda Rock,viewpoint
243837950,-33.7445732,150.3867232,Kings Table,viewpoint
243838465,-33.7260782,150.3720236,Wentworth Falls Lookout,viewpoint
243838467,-33.7275419,150.371199,Eagles Nest Lookout - 50m,viewpoint
243838468,-33.7275577,150.374187,Fletchers Lookout,viewpoint
243838470,-33.7274021,150.3714369,Princes Rock Lookout,viewpoint
243935133,-30.3637436,152.7289066,Dorrigo Rainforest Centre,attraction
243987798,-33.7736026,120.0401205,No Tree Hill,viewpoint
244301435,-10.6872217,142.5315474,,viewpoint
244312824,-33.726797,150.3659747,Den Fenella Lookout,viewpoint
244312898,-33.7261146,150.3648027,Breakfast Point Lookout,viewpoint
244312924,-33.7220143,150.3616966,Lyrebird Lookout,viewpoint
244314455,-33.7210189,150.3597313,Empress Lookout,viewpoint
244314534,-33.7273904,150.3697677,,viewpoint
244316075,-33.7289391,150.3556663,Moya Point Lookout,viewpoint
244316081,-33.7287063,150.3541062,Gladstone Lookout,viewpoint
244467133,-33.8583952,121.0400677,Skippy Rock,viewpoint
244889466,-37.9261016,144.7929218,Point Cook Homestead,attraction
244967512,-33.8612549,151.2106581,Cahill Expressway Lookout,viewpoint
245256854,-33.8188683,151.2963862,,viewpoint
245256864,-33.819647,151.2973315,,viewpoint
245284927,-33.8016055,151.3003636,,viewpoint
245284958,-33.8018242,151.3005078,,viewpoint
245285583,-33.8005747,151.2996515,,viewpoint
245285663,-33.8003472,151.2994006,,viewpoint
245285953,-33.8001213,151.2989891,,viewpoint
245285964,-33.7995378,151.298165,,viewpoint
245285978,-33.7993445,151.2978168,,viewpoint
245382089,-14.8492584,144.1679285,Red Lily Lagoon,viewpoint
246295257,-33.6181837,151.2585422,,viewpoint
246295264,-33.5884349,151.2674332,,viewpoint
246295964,-33.5927705,151.267662,,viewpoint
246299476,-33.5920855,151.299051,,viewpoint
246356702,-33.5977594,151.2641305,,viewpoint
246580757,-30.3096524,153.1352545,Beacon Hill Lookout,viewpoint
247026066,-33.7533765,150.6366201,Marges Lookout,viewpoint
247286455,-30.4886437,152.4102309,Point Lookout,viewpoint
247287226,-30.4765888,152.3210293,L.P. Dutton Trout Hatchery,attraction
247296453,-35.2918939,149.1296207,Captain Cook Memorial Jet,attraction
247298206,-33.781258,151.2950975,,viewpoint
247298603,-33.7416412,151.3150158,Long Reef Point Lookout,viewpoint
247299457,-33.7033218,151.2889116,,viewpoint
247865890,-35.5153172,148.9214335,Corin Forest Mountain Resort,attraction
247869715,-35.4401907,148.9428121,Tidbinbilla Nature Reserve,attraction
247878801,-33.7003354,151.1758573,Endlicher Point,viewpoint
247879254,-33.7874236,151.1467366,,viewpoint
247879296,-33.7916813,151.1552278,,viewpoint
248815921,-35.4753807,149.0469212,Lambrigg Lookout,viewpoint
249089375,-33.8523085,151.2462914,Artillery,attraction
250302703,-33.715589,150.357345,Edinburgh Castle Rock,viewpoint
250430074,-41.4284501,147.1409141,Queen Victoria Museum & Art Gallery,museum
250989717,-37.5060581,146.6879728,Bennison Lookout,viewpoint
250993472,-38.1373338,146.4801838,,viewpoint
251143094,-37.6874192,145.4570254,Oak Ridge Vineyard,attraction
251144814,-36.4536694,146.4286703,Brown Brothers Vineyard,attraction
251155138,-37.0574594,147.2069415,Mount Tabletop (Square Mount),viewpoint
251156821,-37.0529987,147.2580426,Precipice Plain Lookout,viewpoint
251157553,-37.0334853,147.2416515,Carmichael Falls,viewpoint
251453041,-38.458697,145.2877717,Mangrove Lookout,viewpoint
251460697,-37.3021095,146.7849053,Dimmick Lookout,viewpoint
251876418,-35.1908726,149.0848153,Federation Square,attraction
252033066,-37.2614804,150.0495033,,attraction
252174133,-30.5957343,151.7997968,Old dam wall,viewpoint
252227414,-33.4531042,151.3907538,Warriwarry Lookout,viewpoint
252339648,-30.3049026,153.1541448,Eastern Side Lookout,viewpoint
252540475,-33.8704904,123.0009952,Dolphin Cove Viewing platform,viewpoint
252590678,-33.6798546,151.027883,The Porter Scenic Lookout,viewpoint
253016815,-34.7004763,135.8285028,Winter Hill Lookout,viewpoint
253147982,-35.5929487,149.4424643,,viewpoint
253407181,-34.2059277,150.5697834,NSW Rail Museum,attraction
253423604,-33.7387524,151.3123107,,viewpoint
253725403,-33.700868,149.8540065,Oberon Tarana Heritage Railway,museum
254587400,-16.5340109,145.3814722,,viewpoint
254876731,-36.8674025,146.4376319,Paradise Falls view,viewpoint
255957553,-36.412224,148.6056868,,viewpoint
255985868,-34.6870754,150.2975727,Beauchamps Cliffs,viewpoint
255985869,-34.6875602,150.296275,Bonnie View,viewpoint
255985870,-34.6848999,150.2894313,Echo Point Lookout,viewpoint
256391553,-34.6875319,150.2910235,Mount Carnarvon Lookout,viewpoint
256391658,-34.681423,150.302732,Sunrise Point,viewpoint
256391665,-34.6819464,150.3015554,Grand Canyon Lookout,viewpoint
256391736,-34.6802715,150.3046775,Tooths Lookout,viewpoint
256392081,-34.6749529,150.2927396,Erith Coal Mine,viewpoint
256392134,-34.6707599,150.3135397,Amphitheatre,viewpoint
256392327,-34.6703422,150.3230951,Mark Morton Lookout,viewpoint
256392461,-34.6696386,150.3230131,Riverview Lookout,viewpoint
256401689,-24.3953314,151.0456852,,viewpoint
256516030,-39.0012264,146.3015657,Darby Saddle,attraction
256519048,-38.9986242,146.2855369,Sparkes Lookout,viewpoint
256520070,-38.9926013,146.2792926,Lookout Rocks,attraction
256520072,-38.9937872,146.2534326,Tongue Point,attraction
257498434,-39.0377486,146.3058828,Pillar Point,viewpoint
257688107,-34.4397469,150.7921558,Mt Kembla Lookout,viewpoint
257707357,-34.1722112,151.0630761,,viewpoint
258424461,-34.2681171,146.074261,Sir Dudley de Chair Lookout,viewpoint
258424959,-34.2675639,146.0751794,Hermit's Cave,attraction
258428610,-33.9093835,147.9547049,Ben Hall's Cave,attraction
258430138,-33.9126489,147.9484343,Seatons Farm,attraction
259016306,-34.4910002,150.9157981,Hill 60,viewpoint
259414642,-43.0878941,147.0132798,School of Wooden Boat Building,attraction
259415761,-43.2693672,147.3489079,Truganini Lookout,viewpoint
260079475,-33.4773605,150.2208361,Zig Zag Railway,attraction
260133763,-33.7607204,151.1897313,,viewpoint
260134224,-33.7607394,151.1843797,,viewpoint
